"appid","score_rank","owners","owners_variance","price_usd"
"10","97","13209315","101471","999"
"20","55","5529868","66317","499"
"30","75","7648642","77779","499"
"40","57","7530487","77188","499"
"50","92","5534088","66342","499"
"60","50","7520781","77139","499"
"70","95","6099544","69597","999"
"80","75","10637965","91370","999"
"100","75","10637965","91370","999"
"130","75","5507925","66187","499"
"220","97","10053941","88894","999"
"240","92","15410164","109280","1999"
"280","50","3062326","49508","999"
"300","75","6420462","71375","999"
"320","72","14056866","104559","499"
"340","55","14961597","107742","0"
"360","35","6893293","73911","999"
"380","92","6415609","71349","799"
"400","99","9903294","88243","999"
"420","95","5823779","68030","799"
"440","89","39513798","169290","0"
"500","92","4658897","60939","1999"
"550","97","16143991","111742","1999"
"570","72","99115645","244374","0"
"620","99","9124947","84791","1999"
"630","92","4875795","62324","0"
"659","99","0","0","1999"
"730","79","28203826","145304","1499"
"1200","69","928150","27330","999"
"1250","95","3517223","53027","1999"
"1500","41","683822","23466","999"
"1510","83","732350","24283","999"
"1520","65","826242","25790","999"
"1530","57","625589","22446","999"
"1600","33","54436","6626","1499"
"1610","50","78489","7956","999"
"1620","","0","0","1999"
"1630","50","113091","9550","699"
"1640","37","125329","10053","699"
"1670","12","44730","6006","499"
"1690","27","79755","8020","1499"
"1700","72","122586","9942","499"
"1840","86","1226914","31411","0"
"1900","21","228714","13579","499"
"1930","27","948194","27623","999"
"2100","89","970559","27946","999"
"2130","89","970770","27949","999"
"2280","86","450466","19051","499"
"2290","65","380417","17509","499"
"2310","95","357630","16977","499"
"2400","65","1348867","32930","999"
"2420","33","1313420","32495","0"
"2450","41","113724","9576","499"
"2500","45","561237","21262","699"
"2520","9","79755","8020","499"
"2525","8","79755","8020","499"
"2540","18","134612","10418","499"
"2545","18","133979","10394","499"
"2550","18","133979","10394","499"
"2570","1","65196","7251","0"
"2590","12","309735","15800","499"
"2600","89","531276","20688","1999"
"2620","86","227870","13554","1999"
"2630","75","336109","16459","1999"
"2700","72","835525","25934","1999"
"2710","47","23209","4326","299"
"2720","41","21732","4186","999"
"2780","23","42620","5863","799"
"2800","43","240319","13919","499"
"2810","30","379573","17490","999"
"2820","62","575584","21532","1599"
"2840","39","219642","13307","499"
"2850","37","213945","13133","499"
"2870","4","208037","12951","2999"
"2900","37","44730","6006","999"
"2910","55","46629","6132","999"
"2920","27","44308","5978","999"
"2990","86","449411","19029","999"
"3000","43","27007","4667","499"
"3010","43","35658","5363","499"
"3020","52","112669","9532","999"
"3050","23","24686","4462","499"
"3130","45","249814","14191","499"
"3170","79","374087","17363","249"
"3230","1","26796","4649","499"
"3260","22","84185","8240","499"
"3300","95","54858","6651","499"
"3310","92","37978","5534","499"
"3320","89","92414","8633","499"
"3330","69","62242","7085","499"
"3340","69","24897","4481","499"
"3350","57","32704","5136","499"
"3360","72","25108","4500","499"
"3380","79","27007","4667","499"
"3390","86","121531","9899","499"
"3400","92","25108","4500","499"
"3410","23","37978","5534","499"
"3420","55","23842","4385","499"
"3430","75","24475","4443","499"
"3440","92","27007","4667","499"
