"appid", "steam_all_reviews", "steam_positive_reviews", "steam_negative_reviews"
10, 88786, 86942, 1844
20, 2792, 2335, 457
30, 2752, 2497, 255
40, 1029, 867, 162
50, 3490, 3337, 153
60, 2271, 1844, 427
70, 16693, 16143, 550
80, 8617, 7780, 837
130, 2611, 2373, 238
220, 46342, 45034, 1308
240, 62478, 59868, 2610
280, 2999, 2432, 567
300, 8386, 7626, 760
320, 4900, 4388, 512
340, 4866, 4073, 793
360, 1032, 769, 263
380, 5136, 4897, 239
400, 33771, 33141, 630
420, 9799, 9472, 327
440, 436426, 410831, 25595
550, 173531, 168338, 5193
570, 718719, 644450, 74269
620, 92466, 91419, 1047
630, 16466, 15711, 755
730, 1892825, 1735084, 157741
1200, 1366, 1214, 152
1500, 511, 394, 117
1510, 1471, 1363, 108
1520, 1891, 1663, 228
1530, 374, 316, 58
1600, 130, 96, 34
1610, 107, 87, 20
1620, 0, 0, 0
1630, 402, 328, 74
1640, 483, 362, 121
1670, 225, 126, 99
1690, 223, 156, 67
1700, 496, 443, 53
1900, 481, 313, 168
1930, 2888, 1994, 894
2100, 3339, 3160, 179
2280, 2636, 2456, 180
2290, 460, 402, 58
2310, 1671, 1605, 66
2400, 5258, 4581, 677
2420, 754, 552, 202
2450, 760, 587, 173
2500, 1058, 842, 216
2520, 96, 48, 48
2540, 299, 187, 112
2570, 129, 29, 100
2590, 1020, 564, 456
2600, 4799, 4550, 249
2620, 1064, 991, 73
2630, 1651, 1499, 152
2700, 2930, 2608, 322
2710, 139, 112, 27
2720, 36, 28, 8
2780, 203, 134, 69
2800, 212, 166, 46
2810, 310, 223, 87
2820, 1463, 1263, 200
2840, 147, 113, 34
2850, 63, 47, 16
2870, 5992, 2297, 3695
2900, 45, 34, 11
2910, 106, 89, 17
2920, 27, 19, 8
2990, 3627, 3378, 249
3000, 85, 67, 18
3010, 135, 106, 29
3020, 609, 504, 105
3050, 69, 46, 23
3130, 270, 216, 54
3170, 389, 355, 34
3230, 108, 25, 83
3260, 351, 230, 121
3300, 88, 85, 3
3310, 106, 101, 5
3320, 571, 540, 31
3330, 169, 150, 19
3340, 28, 25, 3
3350, 39, 33, 6
3360, 19, 17, 2
3380, 35, 32, 3
3390, 198, 187, 11
3400, 21, 20, 1
3410, 56, 37, 19
3420, 6, 5, 1
3430, 30, 27, 3
3440, 22, 21, 1
3450, 56, 48, 8
3460, 6, 6, 0
3480, 805, 753, 52
3483, 640, 595, 45
3490, 11, 9, 2
3500, 7, 4, 3
3510, 22, 17, 5
3520, 10, 7, 3
3530, 25, 19, 6
3540, 289, 273, 16
3560, 66, 62, 4
3570, 9, 5, 4
3580, 12, 9, 3
3590, 8705, 8444, 261
3600, 134, 82, 52
3610, 9, 7, 2
3620, 265, 250, 15
3700, 1012, 802, 210
3710, 463, 403, 60
3720, 1481, 1414, 67
3800, 268, 207, 61
3830, 6059, 5792, 267
3900, 1121, 1039, 82
3910, 1646, 1479, 167
3920, 2095, 1969, 126
3960, 77, 31, 46
3980, 177, 141, 36
3990, 95, 81, 14
4000, 280134, 268353, 11781
4100, 6, 2, 4
4230, 145, 109, 36
4290, 3, 2, 1
4300, 49, 34, 15
4420, 76, 49, 27
4460, 88, 52, 36
4470, 43, 30, 13
4500, 6430, 6125, 305
4520, 127, 80, 47
4530, 83, 59, 24
4560, 0, 0, 0
4570, 0, 0, 0
4580, 0, 0, 0
4700, 7035, 6742, 293
4760, 6255, 5898, 357
4770, 325, 233, 92
4780, 575, 550, 25
4800, 183, 156, 27
4850, 910, 829, 81
4870, 94, 84, 10
4880, 166, 128, 38
4890, 263, 161, 102
4900, 85, 78, 7
4920, 8526, 7202, 1324
6000, 4688, 4426, 262
6010, 465, 448, 17
6020, 4297, 4048, 249
6030, 1714, 1572, 142
6040, 453, 425, 28
6060, 19733, 17891, 1842
6090, 94, 84, 10
6120, 1403, 1261, 142
6200, 955, 809, 146
6210, 108, 76, 32
6220, 1510, 1377, 133
6250, 481, 398, 83
6270, 163, 71, 92
6300, 480, 420, 60
6310, 912, 855, 57
6370, 1498, 1293, 205
6400, 83, 75, 8
6420, 402, 349, 53
6510, 574, 439, 135
6550, 1694, 1013, 681
6600, 62, 32, 30
6800, 0, 0, 0
6810, 0, 0, 0
6830, 0, 0, 0
6840, 0, 0, 0
6850, 1331, 1169, 162
6860, 4674, 4423, 251
6870, 257, 194, 63
6880, 1734, 1187, 547
6900, 0, 0, 0
6910, 0, 0, 0
6920, 0, 0, 0
6980, 991, 874, 117
7000, 1118, 983, 135
7010, 128, 95, 33
7020, 187, 175, 12
7110, 847, 636, 211
7200, 744, 720, 24
7210, 258, 186, 72
7220, 121, 72, 49
7260, 91, 55, 36
7340, 9, 6, 3
7510, 0, 0, 0
7520, 3867, 2489, 1378
7530, 239, 102, 137
7600, 1269, 841, 428
7610, 357, 260, 97
7620, 356, 295, 61
7650, 337, 308, 29
7660, 349, 314, 35
7670, 18455, 17457, 998
7730, 90, 47, 43
7760, 1815, 1722, 93
7770, 228, 117, 111
7830, 1417, 1239, 178
7840, 71, 31, 40
7860, 581, 397, 184
7940, 7397, 6802, 595
7970, 64, 17, 47
8000, 1314, 1141, 173
8080, 1279, 762, 517
8100, 108, 47, 61
8140, 1326, 1036, 290
8170, 1067, 723, 344
8190, 30419, 28138, 2281
8200, 205, 179, 26
8210, 15, 14, 1
8220, 13, 12, 1
8230, 293, 250, 43
8240, 15, 14, 1
8250, 12, 11, 1
8260, 57, 52, 5
8270, 10, 10, 0
8280, 8, 8, 0
8290, 9, 9, 0
8300, 9, 9, 0
8310, 70, 42, 28
8320, 27, 18, 9
8330, 57, 33, 24
8340, 194, 179, 15
8350, 5, 4, 1
8360, 4, 3, 1
8370, 4, 3, 1
8380, 4, 4, 0
8400, 557, 507, 50
8600, 1749, 1445, 304
8640, 0, 0, 0
8790, 150, 141, 9
8800, 1032, 996, 36
8850, 0, 0, 0
8880, 276, 167, 109
8890, 110, 90, 20
8930, 108141, 104465, 3676
8970, 37, 28, 9
8980, 0, 0, 0
9030, 92, 85, 7
9040, 132, 128, 4
9050, 1947, 1731, 216
9160, 213, 179, 34
9180, 591, 554, 37
9200, 0, 0, 0
9310, 0, 0, 0
9340, 510, 475, 35
9350, 893, 788, 105
9420, 3548, 3451, 97
9450, 0, 0, 0
9460, 489, 312, 177
9480, 8704, 6758, 1946
9500, 230, 142, 88
9710, 54, 27, 27
9730, 114, 44, 70
9760, 122, 98, 24
9800, 471, 352, 119
9850, 91, 56, 35
9880, 2392, 1798, 594
9900, 8078, 6206, 1872
9930, 6597, 4296, 2301
9960, 21, 10, 11
9970, 26, 4, 22
10090, 15798, 14741, 1057
10100, 117, 90, 27
10110, 144, 110, 34
10120, 25, 13, 12
10140, 56, 39, 17
10150, 0, 0, 0
10180, 25976, 23712, 2264
10230, 76, 23, 53
10240, 18, 12, 6
10250, 18, 7, 11
10500, 12889, 11817, 1072
10520, 0, 0, 0
10530, 100, 49, 51
11020, 6198, 5601, 597
11040, 110, 85, 25
11050, 118, 79, 39
11130, 139, 38, 101
11140, 154, 121, 33
11150, 95, 65, 30
11180, 91, 33, 58
11190, 295, 233, 62
11200, 496, 297, 199
11230, 506, 364, 142
11240, 567, 280, 287
11280, 889, 778, 111
11330, 608, 500, 108
11340, 622, 482, 140
11360, 488, 367, 121
11370, 248, 142, 106
11390, 1909, 991, 918
11450, 2667, 2493, 174
11480, 218, 176, 42
11560, 85, 50, 35
11590, 393, 147, 246
11900, 45, 36, 9
11920, 12, 12, 0
12100, 3361, 2994, 367
12110, 0, 0, 0
12120, 0, 0, 0
12150, 1688, 1580, 108
12160, 459, 376, 83
12170, 148, 136, 12
12180, 122, 118, 4
12200, 7138, 6165, 973
12210, 40878, 26833, 14045
12220, 6384, 4792, 1592
12310, 55, 46, 9
12320, 1202, 1009, 193
12330, 244, 196, 48
12340, 60, 39, 21
12360, 1708, 1415, 293
12390, 68, 39, 29
12420, 44, 10, 34
12430, 83, 25, 58
12440, 27, 15, 12
12450, 12, 6, 6
12460, 144, 75, 69
12470, 207, 136, 71
12500, 511, 457, 54
12510, 88, 11, 77
12520, 308, 211, 97
12530, 26, 22, 4
12540, 24, 18, 6
12560, 28, 9, 19
12570, 18, 9, 9
12580, 18, 9, 9
12590, 36, 17, 19
12600, 30, 8, 22
12630, 15, 10, 5
12640, 185, 150, 35
12670, 21, 15, 6
12690, 143, 112, 31
12710, 767, 714, 53
12770, 419, 279, 140
12790, 263, 108, 155
12810, 1715, 1509, 206
12830, 1231, 774, 457
12900, 8685, 8328, 357
13000, 46, 42, 4
13140, 2185, 1443, 742
13500, 521, 459, 62
13520, 2721, 2295, 426
13530, 282, 222, 60
13540, 332, 258, 74
13560, 738, 637, 101
13570, 1457, 1366, 91
13580, 600, 283, 317
13600, 666, 585, 81
13620, 29, 27, 2
13630, 34, 32, 2
15000, 114, 51, 63
15080, 168, 127, 41
15100, 4809, 4031, 778
15120, 2411, 2092, 319
15130, 1378, 1278, 100
15160, 91, 62, 29
15170, 953, 837, 116
15200, 238, 164, 74
15210, 481, 430, 51
15230, 55, 25, 30
15240, 63, 50, 13
15280, 1000, 915, 85
15300, 397, 368, 29
15310, 111, 96, 15
15370, 522, 488, 34
15380, 62, 51, 11
15400, 91, 75, 16
15500, 497, 370, 127
15520, 605, 511, 94
15540, 435, 149, 286
15560, 923, 706, 217
15620, 5224, 4637, 587
15700, 1833, 1653, 180
15710, 665, 635, 30
15740, 457, 322, 135
15750, 698, 596, 102
15800, 2, 1, 1
15900, 54, 43, 11
15910, 8, 6, 2
15920, 13, 4, 9
15930, 33, 27, 6
15950, 41, 30, 11
15960, 64, 46, 18
15970, 29, 21, 8
16000, 23, 8, 15
16020, 17, 11, 6
16030, 35, 27, 8
16040, 17, 12, 5
16060, 22, 14, 8
16100, 19, 15, 4
16110, 11, 8, 3
16120, 39, 37, 2
16130, 30, 24, 6
16180, 30, 23, 7
16200, 21, 15, 6
16300, 81, 77, 4
16450, 2927, 2565, 362
16500, 11, 10, 1
16600, 181, 151, 30
16620, 31, 20, 11
16710, 395, 289, 106
16720, 1820, 1081, 739
16730, 1893, 991, 902
16810, 312, 248, 64
17080, 7728, 6209, 1519
17100, 153, 124, 29
17120, 47, 38, 9
17140, 127, 95, 32
17180, 21, 14, 7
17300, 4898, 4112, 786
