"appid","steamDB_rating","steamDB_total_ratings"
1620, 0.0, 0
4560, 94.49, 4468
4570, 92.39, 2662
4580, 94.47, 2087
6800, 85.04, 1143
6810, 76.19, 310
6830, 83.49, 1126
6840, 54.33, 513
6900, 71.68, 1193
6910, 94.67, 4782
6920, 55.52, 771
7510, 59.03, 2123
8640, 0.0, 0
8850, 89.96, 8350
8980, 93.78, 18217
9200, 76.91, 8972
9310, 85.23, 453
9450, 93.35, 3424
10150, 80.23, 2799
10520, 0.0, 0
12110, 92.18, 6220
12120, 88.42, 18969
18430, 0.0, 0
20570, 89.72, 1480
21030, 54.31, 121
21100, 71.44, 5852
21110, 0.0, 0
21690, 84.2, 6525
23455, 0.0, 0
34010, 79.74, 2916
34650, 0.0, 0
37000, 79.83, 507
38090, 0.0, 0
38400, 92.86, 3323
38410, 93.71, 3241
38420, 82.57, 684
39140, 93.14, 10266
39210, 86.21, 6791
39360, 0.0, 0
42120, 71.23, 1346
42147, 0.0, 0
42670, 91.03, 2016
42700, 88.1, 12643
44340, 46.57, 1089
48190, 86.57, 5151
49409, 0.0, 0
49520, 96.75, 106114
55150, 91.68, 7042
55230, 96.17, 35422
57900, 65.61, 5309
65740, 40.32, 704
65930, 66.89, 5981
67370, 90.04, 7230
71167, 0.0, 0
72850, 94.41, 224316
92000, 59.25, 1983
99830, 0.0, 0
102500, 87.37, 7493
102840, 81.57, 1507
102850, 68.86, 234
106000, 56.65, 283
110800, 86.46, 11684
113400, 63.35, 26661
200490, 46.0, 90
200510, 94.91, 34526
201870, 85.8, 4986
202170, 94.14, 15014
202710, 69.24, 641
202970, 84.7, 26150
203140, 90.07, 20364
203160, 95.83, 65708
206420, 92.19, 46418
207040, 79.54, 826
208090, 86.09, 40577
208200, 81.6, 3525
209000, 85.34, 19639
209160, 56.38, 24590
209650, 60.88, 20967
209830, 85.58, 1081
210870, 85.46, 175
211160, 42.17, 1421
211202, 0.0, 0
211208, 0.0, 0
211600, 90.13, 1354
211740, 93.26, 624
214560, 97.4, 12477
215550, 48.27, 257
217100, 42.13, 822
218620, 80.76, 254549
219150, 97.46, 36117
220820, 83.16, 1835
221040, 79.8, 12662
221100, 67.04, 165318
222480, 83.25, 4533
222606, 0.0, 0
222615, 0.0, 0
222618, 0.0, 0
222638, 0.0, 0
223100, 50.99, 6410
224060, 90.16, 3317
224300, 84.83, 342
224600, 77.21, 10103
224920, 71.09, 724
224940, 68.02, 259
224960, 81.44, 1416
224980, 85.53, 302
225000, 68.83, 183
225020, 49.72, 369
225320, 82.24, 362
225840, 88.93, 7956
226560, 54.04, 670
227480, 69.36, 2201
227560, 62.04, 462
228300, 83.93, 8288
230350, 62.62, 29
230410, 91.07, 125227
230840, 46.08, 1518
231430, 75.11, 30160
233190, 82.05, 676
233290, 82.39, 7149
233980, 93.21, 5128
234080, 79.74, 3768
235460, 92.15, 12298
235540, 79.09, 12820
235700, 0.0, 0
236430, 88.28, 31653
238010, 91.18, 10398
238210, 93.5, 3720
239160, 69.03, 11743
239250, 82.05, 2161
240760, 81.37, 6944
241300, 0.0, 0
241620, 62.98, 390
242700, 85.32, 8273
242760, 91.33, 67688
242940, 68.89, 198
242960, 66.61, 307
242980, 43.33, 362
243040, 84.66, 421
243060, 61.79, 68
245010, 55.52, 49
246900, 91.97, 5163
247307, 80.71, 39
247430, 81.24, 827
247660, 67.39, 2323
247930, 0.0, 0
247950, 21.46, 3323
248190, 82.25, 271
249230, 69.44, 2840
250320, 97.31, 17997
250900, 97.54, 54477
251570, 81.07, 47611
251590, 0.0, 0
251870, 86.92, 2507
252490, 81.07, 179069
253110, 92.67, 2914
253130, 0.0, 0
253230, 0.0, 0
254370, 0.0, 0
254700, 82.84, 8060
255070, 60.21, 1902
255163, 0.0, 0
255520, 78.01, 1616
256576, 0.0, 0
256611, 0.0, 0
257970, 76.23, 414
258180, 29.63, 2601
258643, 0.0, 0
259000, 0.0, 0
260309, 0.0, 0
260330, 68.48, 137
261030, 95.67, 19392
261640, 80.34, 15129
262150, 71.09, 2482
264730, 72.14, 1353
265210, 89.78, 3411
265300, 59.63, 7931
266050, 37.13, 184
268050, 79.27, 8079
268130, 0.0, 0
268990, 0.0, 0
270410, 33.61, 19
271500, 28.47, 585
271590, 81.34, 220701
271970, 83.42, 114
272920, 0.0, 0
274130, 48.09, 430
274960, 0.0, 0
279640, 41.01, 139
280640, 14.41, 126
282370, 0.0, 0
282530, 78.37, 695
283640, 92.33, 3695
284080, 0.0, 0
285010, 72.9, 479
285190, 55.9, 1635
286000, 0.0, 0
287290, 74.71, 8653
287370, 16.6, 1
287371, 7.71, 2
287700, 88.2, 33320
288570, 82.05, 1250
289690, 49.57, 951
290650, 12.35, 315
290690, 0.0, 0
291170, 64.7, 157
291690, 0.0, 0
291750, 0.0, 0
291840, 0.0, 0
292120, 71.35, 8216
292140, 63.03, 2307
292730, 41.37, 12792
293800, 0.0, 0
296470, 95.04, 5482
296830, 57.16, 875
297020, 72.66, 2862
298160, 74.51, 1233
298260, 63.07, 5727
298610, 0.0, 0
299400, 0.0, 0
299440, 58.61, 65
299950, 0.0, 0
302670, 59.93, 2531
302910, 23.07, 91
303720, 43.59, 26
304030, 54.11, 4935
304430, 94.69, 11226
304530, 0.0, 0
306130, 77.18, 21574
307290, 58.4, 1964
307780, 65.12, 18521
308600, 0.0, 0
311240, 91.54, 1135
311260, 0.0, 0
311290, 0.0, 0
311730, 58.08, 5528
312200, 0.0, 0
312660, 80.99, 2112
313080, 60.21, 456
313140, 55.59, 222
313730, 92.32, 2300
313740, 78.82, 7311
313780, 0.0, 0
314350, 61.43, 8
318220, 51.49, 1822
319630, 96.41, 85402
319870, 0.0, 0
319970, 70.97, 416
320240, 82.49, 2017
320760, 92.57, 565
321060, 62.89, 161
322580, 16.53, 32
322780, 0.0, 0
324170, 60.48, 257
324800, 90.38, 7498
325120, 84.07, 347
326060, 26.43, 13
326150, 88.78, 445
326950, 69.5, 305
327760, 0.0, 0
328590, 0.0, 0
329050, 90.35, 2753
331690, 0.0, 0
331870, 0.0, 0
332790, 38.92, 358
333390, 72.79, 37
333600, 95.52, 11612
334350, 0.0, 0
334670, 64.03, 138
334940, 0.0, 0
337340, 0.0, 0
337360, 34.34, 85
338390, 66.83, 1170
338440, 0.0, 0
338840, 0.0, 0
339090, 0.0, 0
339340, 86.94, 1403
339720, 0.0, 0
339800, 95.65, 11991
339830, 0.0, 0
340170, 58.92, 2057
340520, 91.64, 370
341040, 0.0, 0
341050, 0.0, 0
341110, 0.0, 0
341440, 33.38, 72
342180, 86.31, 1630
342190, 0.0, 0
342310, 0.0, 0
342380, 84.55, 1595
342550, 60.2, 169
343630, 40.18, 438
345010, 68.09, 277
345430, 84.46, 147
345610, 92.76, 530
345630, 0.0, 0
345700, 54.24, 101
346330, 64.68, 2446
346390, 0.0, 0
346930, 0.0, 0
347000, 0.0, 0
347700, 0.0, 0
347800, 0.0, 0
348020, 67.13, 2229
348540, 63.36, 203
348580, 0.0, 0
348740, 47.91, 8
349270, 0.0, 0
349580, 41.59, 876
349700, 46.14, 11583
350050, 0.0, 0
350280, 0.0, 0
352010, 60.23, 247
352450, 0.0, 0
352610, 81.25, 93
352720, 0.0, 0
353190, 57.68, 187
353580, 78.66, 105
354480, 0.0, 0
354830, 80.28, 348
354950, 57.01, 51
355680, 0.0, 0
355790, 82.64, 410
355820, 0.0, 0
355840, 50.65, 14260
356190, 0.0, 0
356540, 35.95, 20
356550, 43.63, 17
356560, 42.97, 19
356570, 86.43, 3829
356650, 0.0, 0
358750, 80.98, 415
358770, 82.01, 140
359050, 94.87, 7042
359600, 60.06, 199
359610, 59.99, 229
359870, 91.21, 4476
359940, 65.74, 132
359970, 0.0, 0
360130, 0.0, 0
360430, 45.2, 19261
360880, 38.58, 33
361230, 0.0, 0
361300, 84.77, 1688
362800, 0.0, 0
363150, 47.54, 3139
364000, 26.35, 6
364210, 0.0, 0
364390, 89.77, 313
364500, 0.0, 0
364910, 34.57, 41
365290, 16.6, 1
365820, 28.47, 2
366090, 0.0, 0
366380, 37.39, 3
366580, 0.0, 0
366910, 0.0, 0
367020, 76.49, 157
367080, 0.0, 0
368070, 60.52, 944
368390, 0.0, 0
368430, 69.89, 287
368620, 0.0, 0
368800, 77.59, 94
369700, 28.47, 2
369840, 0.0, 0
370440, 0.0, 0
370870, 0.0, 0
371120, 46.55, 72
371650, 0.0, 0
372330, 59.65, 33
373390, 95.98, 1172
373920, 45.86, 159
374030, 65.97, 911
374780, 0.0, 0
374970, 0.0, 0
375200, 89.93, 670
375230, 50.92, 8060
375340, 0.0, 0
375740, 0.0, 0
375810, 0.0, 0
376310, 33.6, 462
376620, 0.0, 0
377030, 0.0, 0
377040, 0.0, 0
377050, 0.0, 0
377160, 79.49, 92966
377220, 0.0, 0
377260, 0.0, 0
377300, 0.0, 0
377330, 84.63, 575
377510, 0.0, 0
377670, 93.73, 180
377680, 73.39, 360
377690, 86.52, 112
377840, 91.54, 2827
377980, 43.97, 60
378540, 0.0, 0
378690, 0.0, 0
380130, 0.0, 0
380580, 56.06, 389
380920, 0.0, 0
381000, 0.0, 0
381050, 54.03, 55
381100, 79.64, 165
381180, 51.72, 299
381210, 71.02, 73656
381290, 0.0, 1
381620, 0.0, 0
382090, 78.57, 145
382260, 89.82, 190
382300, 53.85, 434
382310, 0.0, 0
382360, 52.34, 169
382420, 48.71, 173
382560, 0.0, 0
382900, 75.95, 727
383080, 84.0, 12592
383460, 86.43, 160
383840, 0.0, 0
384920, 21.26, 46
385370, 83.7, 1902
385800, 94.04, 7953
386430, 0.0, 0
386460, 0.0, 0
386470, 0.0, 0
386620, 0.0, 0
386770, 64.63, 46
387100, 0.0, 0
387790, 0.0, 0
387800, 0.0, 0
387810, 0.0, 0
387820, 0.0, 0
388550, 0.0, 0
389700, 50.04, 269
389800, 0.0, 0
389860, 0.0, 0
390540, 54.73, 56
390710, 0.0, 0
390970, 53.27, 582
391560, 25.56, 16
392100, 37.39, 3
392150, 0.0, 0
393190, 0.0, 0
393200, 81.6, 380
393230, 0.7, 21
393280, 0.0, 0
393520, 0.0, 0
394010, 6.98, 7
394490, 0.0, 0
394870, 68.85, 505
394970, 94.2, 1369
395570, 74.57, 386
395940, 0.0, 0
396310, 81.11, 204
396540, 0.0, 0
397660, 38.28, 17
397730, 68.65, 11
397900, 0.0, 0
398100, 79.84, 402
398120, 22.84, 12
398950, 0.0, 0
399130, 21.07, 50
400510, 53.48, 183
400560, 0.0, 0
400570, 0.0, 0
400740, 48.93, 193
400750, 0.0, 0
400940, 0.0, 0
402180, 85.03, 1560
402280, 32.72, 31
402620, 93.8, 400
402880, 68.01, 238
402910, 3.74, 4
404170, 0.0, 0
404180, 76.56, 73
404380, 0.0, 0
404540, 0.0, 0
404590, 52.42, 1601
404680, 0.0, 0
405240, 44.76, 10
405680, 0.0, 0
405690, 0.0, 0
406040, 16.6, 1
406060, 0.0, 0
406350, 0.0, 0
406830, 0.0, 0
406840, 0.0, 0
406890, 0.0, 0
407510, 56.87, 1816
407560, 72.38, 693
407570, 0.0, 0
407780, 86.72, 124
407980, 65.86, 186
408000, 75.04, 236
408060, 0.0, 0
408120, 47.62, 1159
408410, 0.0, 0
408770, 63.19, 100
409320, 63.07, 131
409350, 0.0, 0
409710, 47.7, 6934
409720, 40.85, 1921
409850, 63.2, 119
410320, 95.36, 2344
410350, 0.0, 0
410390, 48.75, 113
410850, 65.38, 828
411130, 42.33, 52
411300, 0.0, 0
411350, 0.0, 0
411520, 21.09, 10
412050, 83.97, 352
414340, 0.0, 0
414490, 0.0, 0
414700, 87.59, 2180
414870, 0.0, 0
415170, 0.0, 0
415300, 72.25, 79
415600, 0.0, 0
415620, 0.0, 0
415780, 0.0, 0
416130, 76.23, 2036
416430, 31.86, 9
416600, 0.0, 0
416680, 90.88, 524
416700, 0.0, 0
417020, 0.0, 0
417910, 55.25, 1426
417920, 33.22, 17
418030, 76.23, 1493
418240, 96.83, 3052
418950, 82.12, 216
419450, 0.0, 0
419520, 36.22, 528
419700, 0.0, 0
420110, 97.57, 6406
420170, 0.0, 0
420180, 0.0, 0
420290, 92.21, 5610
420300, 0.0, 5
420950, 62.34, 85
420980, 80.43, 30
421020, 0.0, 0
421700, 81.57, 367
421740, 79.63, 159
422870, 60.43, 841
423230, 92.22, 1422
423610, 67.3, 121
423650, 44.87, 40
423950, 62.26, 131
424030, 0.0, 0
424840, 82.83, 176
426000, 79.15, 2225
426310, 0.0, 0
426560, 29.25, 90
427490, 0.0, 0
427820, 79.38, 474
427880, 64.37, 184
427980, 73.12, 348
428630, 51.46, 233
428860, 74.29, 45
428870, 68.31, 99
429570, 76.43, 3304
431930, 0.0, 0
431940, 0.0, 0
432020, 82.34, 2365
432080, 0.0, 0
432100, 81.31, 219
432110, 0.0, 0
432200, 0.0, 0
432850, 0.0, 0
432950, 64.94, 19
433100, 76.21, 534
433170, 0.0, 0
433370, 0.0, 0
434160, 0.0, 0
434420, 67.55, 774
434600, 58.83, 29
435020, 0.0, 0
435100, 70.41, 82
435380, 0.0, 0
435410, 0.0, 0
435740, 0.0, 0
436240, 0.0, 0
436290, 0.0, 0
436340, 64.13, 14
436670, 0.0, 0
436680, 0.0, 0
436740, 7.71, 2
437010, 0.0, 0
437220, 64.44, 14907
437630, 0.0, 0
438120, 0.0, 0
438240, 64.18, 9
438310, 15.05, 26
438330, 0.0, 0
438460, 0.0, 0
438740, 0.0, 0
440310, 0.0, 0
440630, 85.23, 561
440900, 67.32, 10650
441050, 92.7, 231
441440, 0.0, 0
441560, 0.0, 0
442190, 22.5, 15
442660, 0.0, 0
442780, 0.0, 0
442860, 0.0, 0
443000, 0.0, 0
443320, 0.0, 0
443360, 89.5, 91
443790, 0.0, 0
443810, 85.58, 3149
443980, 49.78, 40
445140, 61.67, 55
445230, 78.44, 798
445670, 18.95, 8
445750, 76.12, 66
445980, 0.0, 0
446510, 0.0, 0
446610, 25.2, 11
446760, 0.0, 0
447150, 0.0, 0
447170, 73.46, 97
447180, 48.5, 64
447190, 75.24, 74
447200, 78.83, 69
447290, 0.0, 0
447330, 0.0, 0
447500, 46.66, 1716
447570, 81.51, 266
447960, 55.79, 41
448060, 14.15, 23
448140, 0.0, 3
448930, 0.0, 0
449100, 0.0, 0
449700, 0.0, 0
449800, 81.23, 2116
450240, 0.0, 0
450860, 0.0, 0
451020, 0.0, 0
451080, 0.0, 0
451760, 95.96, 319
451980, 88.9, 125
452180, 0.0, 0
452540, 0.0, 0
452570, 0.0, 0
452650, 38.91, 39
453000, 94.32, 116
453670, 41.79, 94
453800, 0.0, 0
453860, 0.0, 0
453910, 0.0, 0
454000, 0.0, 0
454230, 5.73, 16
454280, 0.0, 0
454350, 57.78, 1002
454370, 0.0, 0
454680, 58.67, 68
454730, 11.87, 8
454770, 0.0, 0
454940, 0.0, 0
455000, 50.79, 41
455190, 0.0, 0
456140, 0.0, 0
456670, 0.0, 0
456740, 0.0, 0
457140, 0.0, 0
457210, 94.63, 439
457410, 0.0, 0
457440, 73.75, 403
457570, 83.86, 84
457650, 0.0, 0
457730, 0.0, 0
457890, 0.0, 0
458380, 77.7, 33
458410, 0.0, 0
458490, 0.0, 0
458520, 42.17, 159
458590, 56.66, 195
458680, 0.0, 0
458900, 0.0, 0
459010, 85.22, 247
459200, 0.0, 0
459350, 0.0, 0
459550, 61.99, 62
459770, 0.0, 0
459900, 0.0, 0
460060, 0.0, 0
460160, 87.68, 177
460430, 0.0, 0
460510, 30.81, 56
460730, 0.0, 0
460950, 0.0, 0
461100, 0.0, 0
461170, 80.12, 60
461410, 68.38, 31
461530, 0.0, 0
461540, 0.0, 0
461550, 0.0, 0
461950, 83.15, 293
462240, 0.0, 0
462250, 0.0, 0
462400, 0.0, 0
462440, 0.0, 0
462780, 83.13, 2095
463130, 0.0, 0
463140, 0.0, 0
463400, 55.07, 20
463470, 43.59, 26
463670, 32.21, 22
463700, 0.0, 0
464060, 0.0, 0
464150, 0.0, 0
464490, 86.05, 31
464500, 73.71, 21
464610, 32.82, 15
465180, 87.06, 48
465280, 78.19, 79
465510, 23.68, 29
465540, 47.19, 33
465860, 0.0, 0
466030, 0.0, 0
466080, 0.0, 0
466260, 19.95, 5
466270, 83.76, 397
466300, 92.48, 206
466450, 0.0, 0
466740, 71.6, 246
466800, 74.65, 126
467340, 0.0, 0
467400, 0.0, 0
467470, 0.0, 0
467540, 0.0, 0
467570, 0.0, 0
467680, 0.0, 0
467930, 74.86, 373
467990, 58.57, 419
468000, 0.0, 0
468170, 44.76, 10
468530, 84.79, 779
468650, 0.0, 0
468920, 0.0, 0
469600, 0.0, 0
469610, 71.06, 368
469720, 0.0, 0
469820, 88.96, 2026
469830, 0.0, 0
469990, 90.78, 881
470090, 0.0, 0
470580, 0.0, 0
471260, 73.57, 27
471550, 0.0, 0
473540, 26.43, 13
473690, 0.0, 0
473740, 0.0, 0
473950, 0.0, 0
474210, 87.27, 307
474960, 86.1, 3729
475090, 0.0, 0
475150, 91.7, 4436
475530, 58.22, 7
475550, 90.93, 4279
477180, 35.95, 20
477740, 90.05, 154
477900, 0.0, 0
478020, 0.0, 0
481180, 81.76, 50
483420, 88.48, 144
483960, 59.53, 188
484350, 65.72, 142
484390, 0.0, 0
485040, 93.02, 242
485130, 0.0, 0
485380, 80.68, 1188
485430, 43.69, 7
486370, 0.0, 0
486640, 40.71, 18
486670, 0.0, 0
486720, 88.16, 206
487000, 0.0, 0
487430, 92.98, 371
487720, 0.0, 0
488350, 0.0, 0
488430, 0.0, 0
489020, 57.4, 104
489070, 31.04, 53
489160, 0.0, 0
489240, 0.0, 0
489830, 76.2, 30185
489930, 0.0, 0
489940, 0.0, 0
490080, 0.0, 0
490160, 72.14, 36
490430, 0.0, 0
490450, 0.0, 0
490690, 47.03, 16
490940, 32.14, 59
491180, 0.0, 0
491370, 0.0, 0
491380, 0.0, 0
491790, 20.08, 60
491800, 15.79, 13
491950, 91.75, 1916
492180, 0.0, 0
492490, 18.21, 45
492520, 0.0, 0
492560, 0.0, 0
492760, 0.0, 0
492860, 0.0, 0
493180, 0.0, 0
493200, 0.0, 0
493320, 25.9, 4
493450, 43.63, 17
493540, 0.0, 0
493770, 25.2, 11
493840, 0.0, 0
493900, 0.0, 0
493920, 0.0, 0
494020, 0.0, 0
494090, 0.0, 0
494160, 0.0, 0
494240, 0.0, 0
494430, 0.0, 0
494440, 57.52, 43
494450, 33.95, 30
494460, 31.77, 27
494470, 53.59, 36
494530, 23.76, 9
494700, 0.0, 0
494840, 0.0, 0
494990, 61.83, 17
495120, 0.0, 0
495200, 28.47, 2
495480, 0.0, 0
495540, 0.0, 0
495600, 0.0, 0
496240, 89.72, 1480
496260, 87.14, 107
496570, 0.0, 0
496660, 0.0, 0
496750, 20.46, 98
496760, 65.8, 24
497000, 23.76, 9
497160, 0.0, 0
497360, 22.84, 12
