"is_singleplayer","is_multiplayer","is_cross_platform_multiplayer","has_split_screen","has_full_controller_support","english","german","french","spanish","russian","chinese","korean","count_packages","developer","publisher","genre_1","genre_2","is_free","required_age","windows","mac","linux","has_website","release_year","release_month","price_usd","final_user_score","appid"
"false","true","false","false","false","true","true","true","true","false","true","true",1.0,"Valve","Valve","Action","Unknown","false",0.0,"true","true","true","false",2000.0,11.0,999.0,"97.92",10.0
"false","true","false","false","false","true","true","true","true","false","false","false",1.0,"Valve","Valve","Action","Unknown","false",0.0,"true","true","true","false",1999.0,4.0,499.0,"83.63",20.0
"false","true","false","false","false","true","true","true","true","false","false","false",1.0,"Valve","Valve","Action","Unknown","false",0.0,"true","true","true","true",2003.0,5.0,499.0,"90.73",30.0
"false","true","false","false","false","true","true","true","true","false","false","false",1.0,"Valve","Valve","Action","Unknown","false",0.0,"true","true","true","false",2001.0,6.0,499.0,"84.26",40.0
"true","true","false","false","false","true","true","true","false","false","false","true",1.0,"Gearbox Software","Valve","Action","Unknown","false",0.0,"true","true","true","false",1999.0,11.0,499.0,"95.62",50.0
"false","true","false","false","false","true","true","true","true","false","false","false",1.0,"Valve","Valve","Action","Unknown","false",0.0,"true","true","true","false",2000.0,11.0,499.0,"81.2",60.0
"true","true","false","false","false","true","true","true","true","false","true","true",1.0,"Valve","Valve","Action","Unknown","false",0.0,"true","true","true","true",1998.0,11.0,999.0,"96.71",70.0
"true","true","false","false","false","true","true","true","true","false","true","true",1.0,"Valve","Valve","Action","Unknown","false",0.0,"true","true","true","false",2004.0,3.0,999.0,"90.29",80.0
"true","false","false","false","false","true","true","true","false","false","false","false",1.0,"Gearbox Software","Valve","Action","Unknown","false",0.0,"true","true","true","false",2001.0,6.0,499.0,"90.88",130.0
"true","false","false","false","false","true","true","true","true","true","true","true",2.0,"Valve","Valve","Action","Unknown","false",0.0,"true","true","true","true",2004.0,11.0,999.0,"97.18",220.0
"false","true","true","false","false","true","true","true","true","true","true","true",1.0,"Valve","Valve","Action","Unknown","false",0.0,"true","true","true","false",2004.0,11.0,1999.0,"95.82",240.0
"true","false","false","false","false","true","true","true","true","true","true","true",1.0,"Valve","Valve","Action","Unknown","true",0.0,"true","true","true","false",2004.0,6.0,999.0,"81.09",280.0
"false","true","true","false","false","true","false","false","false","false","false","false",1.0,"Valve","Valve","Action","Unknown","false",0.0,"true","true","true","true",2010.0,7.0,999.0,"90.94",300.0
"false","true","false","false","false","true","false","false","false","false","false","false",2.0,"Valve","Valve","Action","Unknown","false",0.0,"true","true","true","false",2004.0,11.0,499.0,"89.55",320.0
"true","false","false","false","false","true","true","true","true","true","true","true",0.0,"Valve","Valve","Action","Unknown","true",0.0,"true","true","true","true",2005.0,10.0,0.0,"83.7",340.0
"false","true","false","false","false","true","false","false","false","false","false","false",1.0,"Valve","Valve","Action","Unknown","true",0.0,"true","true","true","false",2006.0,5.0,999.0,"74.52",360.0
"true","false","false","false","false","true","true","true","true","true","true","true",2.0,"Valve","Valve","Action","Unknown","false",0.0,"true","true","true","true",2006.0,6.0,799.0,"95.35",380.0
"true","false","false","false","false","true","true","true","true","true","true","true",2.0,"Valve","Valve","Action","Unknown","false",0.0,"true","true","true","true",2007.0,10.0,999.0,"98.13",400.0
"true","false","false","false","false","true","true","true","true","true","true","true",2.0,"Valve","Valve","Action","Unknown","false",0.0,"true","true","true","true",2007.0,10.0,799.0,"96.66",420.0
"false","true","true","false","false","true","true","true","true","true","true","true",1.0,"Valve","Valve","Action","Free to Play","true",0.0,"true","true","true","true",2007.0,10.0,0.0,"94.14",440.0
"true","true","false","false","true","true","true","true","true","true","true","true",1.0,"Valve","Valve","Action","Unknown","false",0.0,"true","true","true","true",2009.0,11.0,1999.0,"97.01",550.0
"false","true","false","false","false","true","true","true","true","true","true","true",0.0,"Valve","Valve","Action","Free to Play","true",0.0,"true","true","true","true",2013.0,7.0,0.0,"89.67",570.0
"true","false","false","false","true","true","true","true","true","true","true","true",3.0,"Valve","Valve","Action","Adventure","false",0.0,"true","true","true","true",2011.0,4.0,1999.0,"98.87",620.0
"true","true","false","false","false","true","false","false","false","false","false","false",0.0,"Valve","Valve","Action","Unknown","true",0.0,"true","false","false","true",2010.0,7.0,0.0,"95.41",630.0
"false","true","false","false","true","true","true","true","true","true","true","true",1.0,"Valve","Valve","Action","Unknown","false",0.0,"true","true","true","true",2012.0,8.0,1499.0,"91.67",730.0
"false","true","false","false","false","true","false","true","false","true","false","false",2.0,"Tripwire Interactive","Tripwire Interactive","Action","Unknown","false",0.0,"true","true","true","true",2006.0,3.0,999.0,"88.87",1200.0
"true","false","false","false","false","true","true","false","false","false","false","false",4.0,"Introversion Software","Introversion Software","Indie","Strategy","false",0.0,"true","true","true","true",2005.0,7.0,999.0,"77.1",1500.0
"true","false","false","false","false","true","false","false","false","false","false","false",2.0,"Introversion Software","Introversion Software","Indie","Strategy","false",0.0,"true","true","true","true",2006.0,8.0,999.0,"92.66",1510.0
"true","true","false","false","false","true","true","true","true","false","false","false",3.0,"Introversion Software","Introversion Software","Indie","Strategy","false",0.0,"true","true","true","true",2006.0,9.0,999.0,"87.94",1520.0
"true","true","false","false","false","true","true","true","true","false","false","false",3.0,"Introversion Software","Introversion Software","Indie","Unknown","false",0.0,"true","true","false","true",2008.0,9.0,999.0,"84.49",1530.0
"true","true","false","false","false","true","false","false","false","false","false","false",2.0,"Sonalysts","Strategy First","Strategy","Unknown","false",0.0,"true","false","false","true",2006.0,2.0,1499.0,"73.85",1600.0
"true","true","false","false","false","true","false","false","false","false","false","false",2.0,"Malfador Machinations","Strategy First","Strategy","Unknown","false",0.0,"true","false","false","false",2006.0,2.0,999.0,"81.31",1610.0
"true","true","false","false","false","true","false","false","false","false","false","false",1.0,"Strategy First","Strategy First","Strategy","Unknown","false",0.0,"true","false","false","true",2006.0,7.0,699.0,"81.59",1630.0
"true","true","false","false","false","true","false","false","false","false","false","false",1.0,"Strategy First","Strategy First","Strategy","Unknown","false",0.0,"true","false","false","true",2006.0,7.0,699.0,"74.95",1640.0
"true","true","false","false","false","true","false","false","false","false","false","false",1.0,"Strategy First","Strategy First","Strategy","Unknown","false",0.0,"true","false","false","false",2006.0,7.0,499.0,"56",1670.0
"true","true","false","false","false","true","false","false","false","false","false","false",2.0,"Malfador Machinations","Strategy First","Strategy","Unknown","false",0.0,"true","false","false","false",2006.0,10.0,1499.0,"69.96",1690.0
"true","false","false","false","false","true","true","true","true","true","false","false",1.0,"Arkane Studios","Arkane Studios","RPG","Unknown","false",0.0,"true","false","false","true",2007.0,4.0,499.0,"89.31",1700.0
"true","true","true","false","false","true","true","true","true","true","false","false",1.0,"Reality Pump Studios","Topware Interactive","Strategy","Unknown","false",0.0,"true","true","true","true",2006.0,4.0,499.0,"65.07",1900.0
"true","true","false","false","false","true","true","true","true","true","false","false",2.0,"Reality Pump Studios","Topware Interactive","RPG","Unknown","false",0.0,"true","true","true","true",2009.0,4.0,999.0,"69.04",1930.0
"true","true","false","false","false","true","true","true","true","false","false","false",1.0,"Arkane Studios","Ubisoft","Action","RPG","false",0.0,"true","false","false","true",2006.0,10.0,999.0,"94.64",2100.0
"true","false","false","false","false","true","false","false","false","false","false","false",1.0,"id Software","id Software","Action","Unknown","false",0.0,"true","false","false","false",2007.0,8.0,499.0,"93.17",2280.0
"true","false","false","false","false","true","false","false","false","false","false","false",1.0,"id Software","id Software","Action","Unknown","false",0.0,"true","false","false","false",2007.0,8.0,499.0,"87.39",2290.0
"true","true","false","false","false","true","false","false","false","false","false","false",1.0,"id Software","id Software","Action","Unknown","false",0.0,"true","false","false","false",2007.0,8.0,499.0,"96.05",2310.0
"true","true","false","false","false","true","true","true","true","true","false","false",1.0,"Outerlight Ltd.","Blazing Griffin Ltd.","Action","Indie","true",0.0,"true","false","false","true",2006.0,7.0,999.0,"87.12",2400.0
"true","false","false","false","false","true","true","true","true","true","false","false",1.0,"Outerlight Ltd.","Blazing Griffin Ltd.","Action","Indie","false",0.0,"true","false","false","true",2006.0,11.0,0.0,"73.21",2420.0
"true","true","false","false","false","true","false","false","false","false","false","false",1.0,"Outerlight Ltd.","Ubisoft","Action","Unknown","false",0.0,"true","false","false","false",2010.0,10.0,499.0,"77.24",2450.0
"true","false","false","true","false","true","false","false","false","false","false","false",2.0,"Frozenbyte","Frozenbyte","Action","Unknown","false",0.0,"true","true","false","true",2006.0,5.0,699.0,"79.58",2500.0
"true","false","false","false","false","true","false","false","false","true","false","false",1.0,"CINEMAX, s.r.o.","CINEMAX, s.r.o.","Casual","Indie","true",0.0,"true","false","false","true",2006.0,12.0,499.0,"50",2520.0
"true","true","false","false","false","true","false","false","false","false","false","false",1.0,"Elephant Games","Meridian4","Indie","Casual","false",0.0,"true","false","false","false",2007.0,6.0,499.0,"62.54",2540.0
"true","false","false","false","false","true","false","false","false","false","false","false",0.0,"Freegamer","Unknown","Indie","RPG","true",0.0,"true","false","false","false",2007.0,6.0,0.0,"22.48",2570.0
"true","false","false","false","false","true","false","false","false","false","false","false",1.0,"Black Element","Bohemia Interactive","Action","Unknown","false",0.0,"true","false","false","true",2007.0,11.0,499.0,"55.29",2590.0
"true","false","false","false","false","true","true","true","false","false","false","false",1.0,"Troika Games","Activision","Action","Unknown","false",0.0,"true","false","false","true",2007.0,3.0,1999.0,"94.81",2600.0
"true","true","false","false","false","true","true","false","false","false","false","false",1.0,"Infinity Ward","Activision","Action","Unknown","false",0.0,"true","false","false","true",2006.0,10.0,1999.0,"93.14",2620.0
"true","true","false","false","false","true","true","true","true","false","false","false",1.0,"Infinity Ward","Activision","Action","Unknown","false",0.0,"true","true","false","true",2006.0,10.0,1999.0,"90.79",2630.0
"true","false","false","false","false","true","true","true","true","false","false","false",2.0,"Frontier","Atari","Simulation","Strategy","false",0.0,"true","true","false","true",2008.0,3.0,1999.0,"89.01",2700.0
"true","true","false","false","false","true","false","false","false","false","false","false",1.0,"Eugen Systems","Atari","Action","Unknown","false",0.0,"true","false","false","true",2008.0,3.0,299.0,"80.58",2710.0
"true","true","false","false","false","true","false","false","false","false","false","false",3.0,"Iocaine Studios","Atari","Action","Indie","false",0.0,"true","false","false","true",2007.0,7.0,999.0,"77.78",2720.0
"true","true","false","false","false","true","false","false","false","false","false","false",1.0,"Bohemia Interactive","Bohemia Interactive","Action","Unknown","false",0.0,"true","false","false","true",2008.0,3.0,799.0,"66.01",2780.0
"true","false","false","false","false","true","true","true","true","true","false","false",3.0,"Egosoft","Egosoft","Strategy","Unknown","false",0.0,"true","false","false","true",2006.0,7.0,499.0,"78.3",2800.0
"true","false","false","false","false","true","true","true","true","true","true","false",4.0,"Egosoft","Egosoft","Strategy","Unknown","false",0.0,"true","true","true","true",2006.0,7.0,999.0,"71.94",2810.0
"true","false","false","false","false","true","true","true","true","true","true","false",5.0,"Egosoft","Egosoft","Action","Simulation","false",0.0,"true","true","true","true",2008.0,10.0,1599.0,"86.33",2820.0
"true","false","false","false","false","true","true","false","false","false","false","false",3.0,"Egosoft","Egosoft","Simulation","Strategy","false",0.0,"true","false","false","true",2010.0,10.0,499.0,"76.87",2840.0
"true","false","false","false","false","true","true","false","false","false","false","false",3.0,"Egosoft","Egosoft","Simulation","Strategy","false",0.0,"true","false","false","true",2010.0,10.0,499.0,"74.6",2850.0
"true","false","false","false","true","true","true","true","false","true","true","true",5.0,"Egosoft","Egosoft","Action","Simulation","false",0.0,"true","true","true","true",2013.0,11.0,2999.0,"38.33",2870.0
"true","true","false","false","false","true","false","false","false","false","false","false",3.0,"Sonalysts","Strategy First","Strategy","Unknown","false",0.0,"true","false","false","false",2006.0,10.0,999.0,"75.56",2900.0
"true","false","false","false","false","true","false","false","false","false","false","false",3.0,"Sonalysts","Strategy First","Strategy","Unknown","false",0.0,"true","false","false","false",2006.0,10.0,999.0,"83.96",2910.0
"true","true","false","false","false","true","false","false","false","false","false","false",3.0,"Sonalysts","Strategy First","Strategy","Unknown","false",0.0,"true","false","false","false",2006.0,10.0,999.0,"70.37",2920.0
"true","false","false","false","false","true","true","true","true","false","false","false",2.0,"Bugbear Entertainment","Strategy First","Racing","Unknown","false",0.0,"true","false","false","false",2006.0,12.0,999.0,"93.13",2990.0
"true","true","false","false","false","true","false","false","false","false","false","false",1.0,"Techland","Techland","Racing","Unknown","false",0.0,"true","false","false","false",2006.0,8.0,499.0,"78.82",3000.0
"true","true","false","false","false","true","false","false","false","false","false","false",1.0,"Techland","Techland","Racing","Unknown","false",0.0,"true","false","false","true",2006.0,8.0,499.0,"78.52",3010.0
"true","true","false","false","false","true","true","true","true","true","false","false",1.0,"Techland","Techland","Action","Unknown","false",0.0,"true","false","false","true",2007.0,11.0,999.0,"82.76",3020.0
"true","true","false","false","false","true","false","false","false","false","false","false",1.0,"Techland","Techland","Racing","Unknown","false",0.0,"true","false","false","true",2008.0,10.0,499.0,"66.67",3050.0
"true","false","false","false","false","true","true","true","false","true","false","false",2.0,"1C Company","1C Company","Strategy","Unknown","false",0.0,"true","false","false","true",2009.0,11.0,499.0,"80",3130.0
"true","false","false","false","false","true","true","true","true","true","true","false",4.0,"Katauri Interactive","1C Company","RPG","Strategy","false",0.0,"true","true","false","true",2009.0,11.0,249.0,"91.26",3170.0
"true","true","false","false","false","true","false","false","false","false","false","false",1.0,"Metamorf","THQ Nordic","Strategy","Unknown","false",0.0,"true","false","false","true",2007.0,8.0,499.0,"23.15",3230.0
"true","false","false","false","false","true","true","false","true","false","false","false",2.0,"Kheops Studio","THQ Nordic","Adventure","Casual","false",0.0,"true","false","false","true",2007.0,8.0,499.0,"65.53",3260.0
"true","false","false","false","false","true","true","true","true","false","false","false",2.0,"PopCap Games, Inc.","PopCap Games, Inc.","Casual","Unknown","false",0.0,"true","true","false","false",2006.0,8.0,499.0,"96.59",3300.0
"true","false","false","false","false","true","true","true","true","false","false","false",1.0,"PopCap Games, Inc.","PopCap Games, Inc.","Casual","Unknown","false",0.0,"true","true","false","false",2006.0,8.0,499.0,"95.28",3310.0
"true","false","false","false","false","true","false","false","false","false","false","false",2.0,"PopCap Games, Inc.","PopCap Games, Inc.","Casual","Unknown","false",0.0,"true","false","false","false",2006.0,8.0,499.0,"94.57",3320.0
"true","false","false","false","false","true","true","true","true","false","false","false",2.0,"PopCap Games, Inc.","PopCap Games, Inc.","Casual","Unknown","false",0.0,"true","true","false","false",2006.0,8.0,499.0,"88.76",3330.0
